,channel,url
385,CSIFNacional,youtube.com/watch?v=8UUQn5yUD-o
386,CSIFNacional,youtube.com/watch?v=GAfwU0yjmPU
387,CSIFNacional,youtube.com/watch?v=4N1qTr_HzJw
388,CSIFNacional,youtube.com/watch?v=2SnO_ZGZFWk
389,CSIFNacional,youtube.com/watch?v=NkeaU1xo1KQ
390,CSIFNacional,youtube.com/watch?v=KSOnq4_57PA
391,CSIFNacional,youtube.com/watch?v=HjPvnixmmjU
392,CSIFNacional,youtube.com/watch?v=JGg6GuTGc28
393,CSIFNacional,youtube.com/watch?v=mcQJsgIjWN8
394,CSIFNacional,youtube.com/watch?v=SIQhFoCT2h4
395,CSIFNacional,youtube.com/watch?v=My6WLVbuZUg
396,CSIFNacional,youtube.com/watch?v=Tjn5CtR7vKg
397,CSIFNacional,youtube.com/watch?v=mCYMyoFaTJ0
398,CSIFNacional,youtube.com/watch?v=eTaygqAaQ20
399,CSIFNacional,youtube.com/watch?v=tK0IBMnQrvc
400,CSIFNacional,youtube.com/watch?v=1HRD6vrrGvk
401,CSIFNacional,youtube.com/watch?v=Shb_UiEeWcQ
402,CSIFNacional,youtube.com/watch?v=Lbw7kZkAOkE
403,CSIFNacional,youtube.com/watch?v=l-a2HQKJYJI
404,CSIFNacional,youtube.com/watch?v=tgby4CFqPTE
405,CSIFNacional,youtube.com/watch?v=thrvYvZxJko
406,CSIFNacional,youtube.com/watch?v=BjnS7LZD3rE
407,CSIFNacional,youtube.com/watch?v=XIuSRg-SdXI
408,CSIFNacional,youtube.com/watch?v=ArA7z6-LGoc
409,CSIFNacional,youtube.com/watch?v=op39yHdljFg
410,CSIFNacional,youtube.com/watch?v=KgRtygDHZBc
411,CSIFNacional,youtube.com/watch?v=KcfIskmhkJo
412,CSIFNacional,youtube.com/watch?v=AKBAsDtOwVk
413,CSIFNacional,youtube.com/watch?v=yqcqVxARd6c
414,CSIFNacional,youtube.com/watch?v=T35PMDANWUM
415,CSIFNacional,youtube.com/watch?v=Os7bGp83SEQ
416,CSIFNacional,youtube.com/watch?v=ifV2ZhHUCWU
417,CSIFNacional,youtube.com/watch?v=KYavrbbrTHc
418,CSIFNacional,youtube.com/watch?v=75N6djZWTO8
419,CSIFNacional,youtube.com/watch?v=iuW0quDH4F0
420,CSIFNacional,youtube.com/watch?v=-m5GkEKPYWo
421,CSIFNacional,youtube.com/watch?v=l5auvz-BFjc
422,CSIFNacional,youtube.com/watch?v=iCOCEUV2qCQ
423,CSIFNacional,youtube.com/watch?v=J0-qE_zgans
424,CSIFNacional,youtube.com/watch?v=qB9vWoZbe7w
425,CSIFNacional,youtube.com/watch?v=0Fi53sT7atQ
